job_id,option,models_used,n_models,hyperparams,fold_id,hF1,accuracy,top_accuracy,weights
A__A___simple_average___fold0,A,A,1,"{""strategy"":""simple_average""}",0,80.84230508550313,81.84306569343066,90.6478102189781,
A__A___simple_average___fold1,A,A,1,"{""strategy"":""simple_average""}",1,82.36589244598372,83.57664233576642,91.19525547445255,
A__A___simple_average___fold2,A,A,1,"{""strategy"":""simple_average""}",2,80.97412193906952,82.2992700729927,90.51094890510949,
A__A___simple_average___fold3,A,A,1,"{""strategy"":""simple_average""}",3,81.53281606771722,83.07481751824818,90.78467153284672,
A__A___simple_average___fold4,A,A,1,"{""strategy"":""simple_average""}",4,81.41881192717022,82.16240875912408,90.6021897810219,
A__B___simple_average___fold0,A,B,1,"{""strategy"":""simple_average""}",0,81.48641317246235,83.16605839416059,90.41970802919708,
A__B___simple_average___fold1,A,B,1,"{""strategy"":""simple_average""}",1,81.55152899985228,82.80109489051095,90.6021897810219,
A__B___simple_average___fold2,A,B,1,"{""strategy"":""simple_average""}",2,81.52589905993224,82.61861313868614,90.6478102189781,
A__B___simple_average___fold3,A,B,1,"{""strategy"":""simple_average""}",3,80.24613128632907,82.16240875912408,90.51094890510949,
A__B___simple_average___fold4,A,B,1,"{""strategy"":""simple_average""}",4,80.8091084720905,82.2536496350365,90.19160583941606,
A__C___simple_average___fold0,A,C,1,"{""strategy"":""simple_average""}",0,81.18818985300264,82.3905109489051,90.55656934306569,
A__C___simple_average___fold1,A,C,1,"{""strategy"":""simple_average""}",1,81.21921483918553,82.3905109489051,90.41970802919708,
A__C___simple_average___fold2,A,C,1,"{""strategy"":""simple_average""}",2,81.82927718445808,82.89233576642336,90.6021897810219,
A__C___simple_average___fold3,A,C,1,"{""strategy"":""simple_average""}",3,81.79165925602638,83.21167883211679,91.33211678832117,
A__C___simple_average___fold4,A,C,1,"{""strategy"":""simple_average""}",4,80.09319030436461,81.66058394160584,90.23722627737226,
A__D___simple_average___fold0,A,D,1,"{""strategy"":""simple_average""}",0,81.31418954180913,82.80109489051095,90.14598540145985,
A__D___simple_average___fold1,A,D,1,"{""strategy"":""simple_average""}",1,80.37110503141109,81.79744525547446,89.73540145985402,
A__D___simple_average___fold2,A,D,1,"{""strategy"":""simple_average""}",2,80.64204568453512,81.79744525547446,90.05474452554745,
A__D___simple_average___fold3,A,D,1,"{""strategy"":""simple_average""}",3,81.17868987645002,82.98357664233576,90.28284671532847,
A__D___simple_average___fold4,A,D,1,"{""strategy"":""simple_average""}",4,81.1723757375075,82.84671532846716,90.37408759124088,
B__A+B___h64_soft_d03___fold0_oof_fold0,B,"A,B",2,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",0,84.04716281138867,84.94525547445255,92.10766423357664,
B__A+B___h64_soft_d03___fold0_oof_fold1,B,"A,B",2,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",1,84.04716281138867,84.94525547445255,92.10766423357664,
B__A+B___h64_soft_d03___fold0_oof_fold2,B,"A,B",2,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",2,84.04716281138867,84.94525547445255,92.10766423357664,
B__A+B___h64_soft_d03___fold0_oof_fold3,B,"A,B",2,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",3,84.04716281138867,84.94525547445255,92.10766423357664,
B__A+B___h64_soft_d03___fold0_oof_fold4,B,"A,B",2,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",4,84.04716281138867,84.94525547445255,92.10766423357664,
B__A+B+C___h64_soft_d03___fold0_oof_fold0,B,"A,B,C",3,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",0,84.17880082611283,85.08211678832117,92.38138686131386,
B__A+B+C___h64_soft_d03___fold0_oof_fold1,B,"A,B,C",3,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",1,84.17880082611283,85.08211678832117,92.38138686131386,
B__A+B+C___h64_soft_d03___fold0_oof_fold2,B,"A,B,C",3,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",2,84.17880082611283,85.08211678832117,92.38138686131386,
B__A+B+C___h64_soft_d03___fold0_oof_fold3,B,"A,B,C",3,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",3,84.17880082611283,85.08211678832117,92.38138686131386,
B__A+B+C___h64_soft_d03___fold0_oof_fold4,B,"A,B,C",3,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",4,84.17880082611283,85.08211678832117,92.38138686131386,
B__A+B+C+D___h64_soft_d03___fold0_oof_fold0,B,"A,B,C,D",4,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",0,84.38033474682933,85.3558394160584,92.42700729927007,
B__A+B+C+D___h64_soft_d03___fold0_oof_fold1,B,"A,B,C,D",4,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",1,84.38033474682933,85.3558394160584,92.42700729927007,
B__A+B+C+D___h64_soft_d03___fold0_oof_fold2,B,"A,B,C,D",4,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",2,84.38033474682933,85.3558394160584,92.42700729927007,
B__A+B+C+D___h64_soft_d03___fold0_oof_fold3,B,"A,B,C,D",4,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",3,84.38033474682933,85.3558394160584,92.42700729927007,
B__A+B+C+D___h64_soft_d03___fold0_oof_fold4,B,"A,B,C,D",4,"{""model_type"":""oof_stacking"",""hidden_size"":64,""fusion_type"":""softmax_gate"",""dropout_rate"":0.3,""num_epochs"":100,""lr"":0.001,""patience"":15}",4,84.38033474682933,85.3558394160584,92.42700729927007,
